personnel_id,first_name,last_name,dob,gender,address,city,state,postcode,current_base
04-6317962,Ronnie,Kinsey,12/02/1978,F,5 Hooker Park,Sydney,New South Wales,1109,HMAS Cerberus (Training Establishment)
04-7998594,Julianne,Faithfull,18/04/1979,F,06324 Bayside Hill,Sydney,New South Wales,1161,HMAS Harman
04-9357646,Dalt,Dunthorn,29/01/1980,M,13 Melody Terrace,Melbourne,Victoria,8045,Townsville Field Training Area
05-0476252,Wilton,Panks,08/01/1972,M,19 Jay Junction,Sydney,New South Wales,1109,Robertson Barracks
05-6872216,Malinde,Buyers,22/10/1974,F,11 Merchant Trail,Sydney South,New South Wales,1235,RAAF Base Williamtown
05-7577700,Javier,Ensley,06/08/1970,M,2271 Upham Way,Northern Suburbs Mc,New South Wales,1694,Watsonia Barracks
05-8286064,Cullan,Soares,23/01/1978,M,11 Dryden Park,Eastern Suburbs Mc,New South Wales,1391,HMAS Cairns
05-8605572,Drona,Gaven,21/07/1972,F,09883 Northland Crossing,Sydney,New South Wales,1134,Watsonia Barracks
05-9218728,Mile,Bridgwood,18/07/1979,M,01403 Sugar Hill,Northern Suburbs Mc,New South Wales,1694,Woodside Barracks
06-2442191,Marcelo,Dasent,31/12/1970,M,69 Boyd Street,Sydney,New South Wales,1109,HMAS Albatross
06-4124741,Druci,Monday,18/07/1973,F,4905 New Castle Drive,Sydney,New South Wales,1206,Victoria Barracks (Melbourne)
06-4300913,Marquita,Davenell,11/01/1981,F,14780 Merchant Point,Launceston,Tasmania,7904,RAAF Curtin
06-5223952,Rriocard,Cashell,10/12/1983,M,93451 Superior Plaza,Sydney,New South Wales,1181,Watsonia Barracks
06-5570747,Casper,Golt,09/08/1982,M,5642 Donald Lane,Sydney,New South Wales,1181,Shoalwater Bay Training Area
06-5698731,Carlyle,Worlidge,19/03/1982,M,187 Little Fleur Terrace,Sydney,New South Wales,1028,RAAF Base Darwin
06-6252346,Granthem,Strother,03/02/1985,M,0 Pearson Crossing,Sydney South,New South Wales,1235,Mount Bundey Training Area
06-6310613,Pietra,McOrkill,12/05/1988,F,61 Vidon Crossing,Sydney,New South Wales,1171,Blamey Barracks (Army Recruit Training Centre)
06-6607094,Peg,Raveau,23/09/1983,F,5204 Birchwood Avenue,Northern Suburbs Mc,New South Wales,1694,RAAF Learmonth
06-7320797,Brien,Aldritt,11/03/1978,M,8623 Ilene Lane,Sydney,New South Wales,1028,Robertson Barracks
06-8316524,Gates,Culvey,28/09/1982,F,320 Washington Junction,Sydney South,New South Wales,1235,Gallipoli Barracks
06-8341753,Ondrea,Shugg,28/04/1985,F,3235 Fallview Place,Eastern Suburbs Mc,New South Wales,1325,Garden Island (Fleet Base East)
06-8996234,Hayden,Guiet,07/03/1985,M,8498 Northfield Way,Adelaide Mail Centre,South Australia,5874,RAAF Scherger
06-9109539,Rolando,Gittus,04/06/1972,M,786 Prairieview Point,Sydney,New South Wales,1181,RAAF Base Tindal
06-9701375,Ruttger,Caudle,21/08/1979,M,85 American Ash Circle,Sydney,New South Wales,1109,RAAF Base Edinburgh
07-0317502,Teena,Buie,04/08/1975,F,59 Commercial Alley,Launceston,Tasmania,7904,RAAF Base Edinburgh
07-1113650,Dick,Skotcher,11/02/1983,M,2406 Luster Lane,Brisbane,Queensland,9010,Jungle Training Wing
07-2340080,Roxana,Samweyes,24/09/1987,F,71 New Castle Place,Brisbane,Queensland,9010,Swanbourne Barracks (SAS Regiment)
07-2922908,Cello,Hollyman,08/04/1989,M,23501 Moose Circle,Sydney South,New South Wales,1235,Victoria Barracks (Sydney)
07-3542801,Gino,Harlett,10/11/1975,M,254 Fairfield Drive,Sydney,New South Wales,1009,RAAF Base East Sale (Air Training College)
07-4906354,Bruce,Attersoll,19/04/1979,M,1 Bluestem Drive,Launceston,Tasmania,7904,HMAS Coonawarra
07-4939406,Ashly,Presdee,14/10/1981,F,10076 Russell Place,Sydney,New South Wales,1134,RAAF Base Tindal
07-6056482,Ximenez,Blakemore,08/10/1988,M,22696 Alpine Street,Eastern Suburbs Mc,New South Wales,1315,RAAF Base Wagga
07-6901359,Arman,Rallin,11/12/1984,M,81 Butterfield Center,Sydney,New South Wales,1206,Blamey Barracks (Army Recruit Training Centre)
07-7313200,Maurizio,Andriesse,15/01/1984,M,79 Oak Valley Road,Eastern Suburbs Mc,New South Wales,1315,RAAF Base Williamtown
07-7567576,Dominic,Blair,16/05/1979,M,06081 Blaine Junction,Northern Suburbs Mc,New South Wales,1694,RAAF Learmonth
07-8651653,Melly,Guerry,26/06/1973,F,56309 Barby Street,Sydney,New South Wales,1009,RAAF Base Richmond
07-8788555,Karim,Stoggles,26/09/1981,M,85771 Cherokee Court,Launceston,Tasmania,7916,Swanbourne Barracks (SAS Regiment)
07-9498668,Tobe,Joinsey,25/10/1989,F,5518 Tennessee Circle,Adelaide,South Australia,5839,HMAS Waterhen
08-0952906,Gonzales,Williamson,23/06/1988,M,01 Del Mar Hill,Hobart,Tasmania,7808,RAAF Base Amberley
08-1396944,Elinor,Balmforth,13/01/1973,F,4 Mallory Terrace,Sydney,New South Wales,1109,Puckapunyal Military Area (Training)
08-2559144,Carlota,Saing,05/06/1989,F,229 Sycamore Drive,Northern Suburbs Mc,New South Wales,1694,Kokoda Barracks (Land Warfare Centre)
08-2616725,Court,Pascow,05/12/1989,M,0 Brickson Park Way,Sydney,New South Wales,1206,Jervis Bay (Navy College)
08-2751229,Regan,Bischoff,01/11/1971,F,501 Parkside Terrace,Adelaide Mail Centre,South Australia,5899,Joint Warfare Training Centre
08-3144138,Ode,Channon,18/03/1973,M,1 Kennedy Circle,Adelaide Mail Centre,South Australia,5899,HMAS Cerberus (Training Establishment)
08-4751149,Xena,Firpi,28/03/1980,F,5949 Fremont Drive,Perth,Western Australia,6843,RAAF Curtin
08-6307844,Adrea,Allridge,19/04/1979,F,398 Stuart Avenue,Perth,Western Australia,6843,HMAS Harman
08-7149838,Morena,Heister,08/08/1984,F,03341 American Ash Road,Brisbane,Queensland,9010,RAAF Scherger
08-8264564,Joaquin,Muselli,17/01/1973,M,5218 Valley Edge Avenue,Sydney,New South Wales,1109,Kokoda Barracks (Land Warfare Centre)
08-8304214,Bradney,Winfield,25/09/1987,M,67606 Thierer Trail,Sydney,New South Wales,1191,Swanbourne Barracks (SAS Regiment)
08-8503359,Duff,Urey,12/08/1971,M,6518 Gale Avenue,Eastern Suburbs Mc,New South Wales,1315,RAAF Base Tindal
08-8972067,Tadeas,Urquhart,25/04/1974,M,962 Anniversary Crossing,Sydney,New South Wales,1028,Puckapunyal Military Area (Training)
08-9133883,Meridith,Berrisford,19/07/1989,F,1 Petterle Hill,Melbourne,Victoria,8383,HMAS Albatross
09-0137405,Tremayne,Joyner,02/07/1979,M,702 Stuart Center,Eastern Suburbs Mc,New South Wales,1391,RAAF Woomera
09-4061315,Chan,Frensch,02/02/1977,M,781 Becker Park,Launceston,Tasmania,7916,Lone Pine Barracks (School of Infantry)
09-4635021,Sharleen,Linsay,23/03/1989,F,83 Pine View Plaza,Launceston,Tasmania,7916,RAAF Base Richmond
09-4742548,Carmina,Izachik,29/03/1985,F,13831 Almo Point,Perth,Western Australia,6817,HMAS Waterhen
09-5703994,Cullin,Matejka,09/03/1984,M,82 Brentwood Point,Sydney,New South Wales,1206,RAAF Base Edinburgh
09-6013429,Allison,Spada,29/02/1976,F,2705 Charing Cross Hill,Hobart,Tasmania,7808,HMAS Kuttabul (Fleet Base East)
09-6872591,Ahmad,MacBarron,09/11/1986,M,4182 Lake View Court,Sydney,New South Wales,1109,HMAS Waterhen
09-8083953,Rosetta,Holhouse,21/04/1987,F,2380 Ridgeway Court,Brisbane,Queensland,9010,HMAS Waterhen
09-8418010,Sheba,Condit,25/07/1980,F,7291 Randy Crossing,Sydney,New South Wales,1206,Victoria Barracks (Sydney)
09-8609665,Chevalier,Iacovino,20/10/1989,M,2132 Bartelt Road,Sydney,New South Wales,1191,HMAS Stirling (Fleet Base West)
09-8796293,Tabbatha,Heeps,28/06/1979,F,939 Colorado Plaza,Sydney,New South Wales,1140,Majura Training Area
10-0210356,Priscilla,Tretter,02/07/1979,F,4570 Summit Pass,Eastern Suburbs Mc,New South Wales,1325,Robertson Barracks
10-0669923,Pat,Lambol,03/10/1985,F,28229 Coolidge Point,Eastern Suburbs Mc,New South Wales,1315,Jervis Bay (Navy College)
10-2160714,Winnah,Norres,10/07/1982,F,577 Wayridge Court,Hobart,Tasmania,7808,Puckapunyal Military Area (Training)
10-2551430,Sunshine,Keggin,14/12/1989,F,19 7th Junction,Hobart,Tasmania,7808,HMAS Albatross
10-3949549,Giustino,Andrick,30/08/1989,M,3713 Mendota Parkway,Northern Suburbs Mc,New South Wales,1694,HMAS Albatross
10-4327544,Ursuline,Ottosen,03/12/1970,F,78080 Jackson Drive,Sydney,New South Wales,1043,Holsworthy Barracks
10-5186383,Olimpia,Siret,30/05/1984,F,8273 Farragut Trail,Eastern Suburbs Mc,New South Wales,1315,RAAF Base Edinburgh
10-5498614,Jose,Brydone,04/02/1978,M,0810 Manley Plaza,Melbourne,Victoria,8383,Kokoda Barracks (Land Warfare Centre)
10-5812976,Evelin,Gonneau,30/12/1980,M,3565 Gale Point,Adelaide Mail Centre,South Australia,5889,RAAF Learmonth
10-6173578,Kin,Whyard,04/04/1985,M,52213 Banding Parkway,Sydney,New South Wales,1109,Irwin Barracks
10-7162767,Clemmy,Endon,13/04/1985,M,701 Spaight Lane,Adelaide Mail Centre,South Australia,5869,RAAF Base Wagga
10-7378259,Menard,Buckenhill,13/09/1984,M,5938 Sutteridge Circle,Adelaide Mail Centre,South Australia,5874,Gallipoli Barracks
10-9264975,Dasha,Beynkn,05/01/1976,F,63 Pierstorff Avenue,Sydney,New South Wales,1043,HMAS Kuttabul (Fleet Base East)
11-0039114,Brier,Skingley,10/08/1987,F,14 Towne Avenue,Sydney,New South Wales,1109,HMAS Cairns
11-0198036,Robbie,Gratrix,17/04/1982,M,43109 Dexter Way,Sydney,New South Wales,1171,Jervis Bay (Navy College)
11-0315520,Janenna,Scrooby,15/09/1971,F,1371 Shopko Trail,Adelaide,South Australia,5839,RAAF Learmonth
11-1040889,Arny,Banham,30/08/1983,M,9280 Lillian Crossing,Perth,Western Australia,6843,Gallipoli Barracks
11-2156352,Wilona,Messenbird,24/12/1976,F,597 Corscot Plaza,Adelaide,South Australia,5839,HMAS Stirling (Fleet Base West)
11-3427193,Hallsy,Taunton.,26/03/1971,M,196 Scoville Point,Sydney South,New South Wales,1235,Lavarack Barracks
11-3825027,Mayne,Creer,11/11/1983,M,306 Maple Pass,Adelaide Mail Centre,South Australia,5889,RAAF Woomera
11-4010646,Lowrance,Starkings,24/06/1973,M,830 High Crossing Pass,Sydney,New South Wales,1140,HMAS Harman
11-5007491,Jim,Janes,26/07/1981,M,25 Dawn Center,Adelaide Mail Centre,South Australia,5869,RAAF Base Tindal
11-6968801,Axel,Brakespear,27/07/1970,M,6652 Bowman Center,Sydney,New South Wales,1161,Townsville Field Training Area
11-7096380,Remington,Cartmer,25/04/1971,M,2 Gale Trail,Adelaide Mail Centre,South Australia,5899,Puckapunyal Military Area (Training)
11-7254013,Dugald,Mussettini,24/07/1978,M,0 Lakewood Gardens Center,Sydney,New South Wales,1206,RAAF Base Richmond
11-8372486,Vicki,Kener,24/06/1979,F,6 Browning Circle,Northern Suburbs Mc,New South Wales,1694,Puckapunyal Military Area (Training)
12-0068018,Kristal,Feathersby,13/09/1978,F,1814 Scofield Court,Sydney South,New South Wales,1235,Victoria Barracks (Sydney)
12-1079782,Nixie,Walley,26/03/1976,F,04 Lindbergh Hill,Adelaide Mail Centre,South Australia,5874,Jervis Bay (Navy College)
12-1792527,Toby,Gamlen,11/08/1987,F,7830 Oxford Street,Sydney,New South Wales,1196,RAAF Base Pearce (Pilot Training)
12-2806082,Corissa,OHanlon,06/08/1975,F,9 Northland Circle,Sydney,New South Wales,1033,Joint Warfare Training Centre
12-2830399,Gayelord,Labes,14/06/1984,M,77 Columbus Point,Sydney,New South Wales,1196,Townsville Field Training Area
12-5192571,Salvidor,Grabert,26/10/1973,M,33 Dahle Way,Perth,Western Australia,6817,Watsonia Barracks
12-5241619,Morna,Thornton,17/08/1978,F,868 Hayes Terrace,Hobart,Tasmania,7803,HMAS Coonawarra
12-5273444,Thorin,Lowthorpe,09/09/1976,M,76 Lerdahl Court,Perth,Western Australia,6843,Garden Island (Fleet Base East)
12-5347438,Emelina,Mogey,24/03/1975,F,27 Farwell Drive,Eastern Suburbs Mc,New South Wales,1325,RAAF Base Pearce (Pilot Training)
13-2552509,Reuven,Elderton,27/02/1977,M,89010 Emmet Pass,Eastern Suburbs Mc,New South Wales,1325,RAAF Base Pearce (Pilot Training)
13-4471419,Baird,Hedgeman,13/01/1975,M,71859 Talisman Terrace,Sydney,New South Wales,1206,Mount Bundey Training Area
13-4886840,Shandee,Slack,08/05/1985,F,84 Rigney Place,Eastern Suburbs Mc,New South Wales,1391,HMAS Harman
13-6194050,Riobard,Sannes,21/12/1970,M,623 Hauk Way,Sydney,New South Wales,1120,Kokoda Barracks (Land Warfare Centre)
13-6199397,Marty,Gemeau,07/12/1970,M,5 Almo Road,Adelaide Mail Centre,South Australia,5899,Majura Training Area
13-6513552,Burl,Doghartie,09/03/1985,M,0 Ramsey Road,Eastern Suburbs Mc,New South Wales,1315,RAAF Base Edinburgh
13-9283040,Peder,Kliesl,19/04/1981,M,53 Morning Crossing,Sydney,New South Wales,1109,Lone Pine Barracks (School of Infantry)
13-9960354,Wilt,Glaze,23/03/1970,M,788 Green Circle,Sydney,New South Wales,1140,RAAF Base East Sale (Air Training College)
14-1247089,Flin,Doncom,27/11/1972,M,17 Delladonna Pass,Perth,Western Australia,6843,Holsworthy Barracks
14-1458897,Bary,Gotcliff,25/11/1985,M,9 Gulseth Way,Sydney South,New South Wales,1235,RAAF Base Edinburgh
14-1611988,Karlene,Adamthwaite,29/12/1970,F,319 Milwaukee Street,Northern Suburbs Mc,New South Wales,1694,HMAS Harman
14-2386410,Consuela,Potkin,12/04/1971,F,6822 Glendale Center,Sydney,New South Wales,1196,Joint Warfare Training Centre
14-5841443,Austin,Julyan,05/09/1988,F,05 Messerschmidt Place,Sydney,New South Wales,1161,Jungle Training Wing
14-6907746,Borg,Branwhite,16/11/1971,M,3 Thierer Crossing,Adelaide Mail Centre,South Australia,5869,Swanbourne Barracks (SAS Regiment)
14-7137115,Alika,Norker,09/11/1986,F,77009 Sundown Alley,Eastern Suburbs Mc,New South Wales,1315,Garden Island (Fleet Base East)
14-9301663,Ravi,Merveille,01/02/1986,M,39 Golf View Trail,Sydney South,New South Wales,1235,HMAS Kuttabul (Fleet Base East)
15-0528487,Benjie,Knock,25/02/1981,M,673 Erie Road,Sydney,New South Wales,1134,Gallipoli Barracks
15-0595423,Rees,Corran,22/06/1971,M,38808 Golf View Plaza,Launceston,Tasmania,7916,Shoalwater Bay Training Area
15-0983659,Jessamine,Seedhouse,01/02/1985,F,125 Northridge Place,Sydney,New South Wales,1161,Lone Pine Barracks (School of Infantry)
15-1082714,Myrlene,Utterson,28/04/1983,F,41545 Ludington Trail,Sydney,New South Wales,1109,Lone Pine Barracks (School of Infantry)
15-1165683,Debera,Keitch,23/03/1977,F,605 Rutledge Parkway,Adelaide,South Australia,5839,Joint Warfare Training Centre
15-1369458,Florence,Willisch,27/12/1975,F,333 Jay Parkway,Sydney,New South Wales,1120,Robertson Barracks
15-2219143,Astrid,Ucchino,12/02/1986,F,91 Superior Terrace,Sydney,New South Wales,1009,RAAF Base East Sale (Air Training College)
15-3082340,Rogerio,Losano,05/05/1989,M,140 Coleman Center,Sydney,New South Wales,1161,RAAF Curtin
15-3140135,Wilmette,Rockhill,24/06/1988,F,9675 Marcy Alley,Launceston,Tasmania,7916,HMAS Albatross
15-4159412,Fitzgerald,Gaylor,25/08/1984,M,31862 Lunder Pass,Sydney,New South Wales,1140,Blamey Barracks (Army Recruit Training Centre)
15-7173203,Bibbie,Mullarkey,14/11/1989,F,560 Scoville Plaza,Adelaide Mail Centre,South Australia,5874,Victoria Barracks (Melbourne)
16-0622621,Michel,Ramsell,18/10/1980,F,1 Corben Court,Sydney,New South Wales,1028,Jervis Bay (Navy College)
16-1097308,Rubina,Collingridge,17/07/1987,F,4 Dakota Alley,Eastern Suburbs Mc,New South Wales,1325,HMAS Kuttabul (Fleet Base East)
16-1494568,Denise,Bursnoll,28/07/1978,F,39 Mallory Junction,Sydney,New South Wales,1171,Jervis Bay (Navy College)
16-1611786,Findlay,Anyon,20/03/1971,M,23293 Annamark Court,Sydney,New South Wales,1171,Puckapunyal Military Area (Training)
16-3233392,Marcos,Stanwix,18/09/1984,M,90908 Sundown Park,Hobart,Tasmania,7808,Victoria Barracks (Melbourne)
16-4234469,Sarge,Broomfield,14/11/1973,M,798 Thierer Plaza,Sydney,New South Wales,1191,Robertson Barracks
16-4692869,Cordell,Greenley,29/06/1975,M,95996 Kipling Trail,Perth,Western Australia,6817,Jervis Bay (Navy College)
16-5197940,Allix,Jewitt,16/11/1984,F,600 Lyons Center,Sydney,New South Wales,1134,HMAS Albatross
16-6026240,Ambrosius,Casse,10/12/1984,M,4 Russell Court,Sydney South,New South Wales,1235,HMAS Albatross
16-6903239,Adi,Alejandre,15/09/1977,F,41460 Main Place,Sydney,New South Wales,1120,Swanbourne Barracks (SAS Regiment)
16-9491842,Kaia,Gavozzi,15/12/1984,F,59105 Maryland Crossing,Sydney,New South Wales,1134,Townsville Field Training Area
16-9784239,Spencer,Woodburn,09/04/1975,M,638 Carioca Way,Eastern Suburbs Mc,New South Wales,1325,Robertson Barracks
17-4016718,Svend,Jakuszewski,04/08/1989,M,71 Oxford Avenue,Sydney,New South Wales,1191,Kokoda Barracks (Land Warfare Centre)
17-5812294,Jenn,Stealfox,25/07/1985,F,9965 Hayes Drive,Melbourne,Victoria,8383,RAAF Base Williamtown
17-6541564,Windham,Kiehl,17/10/1987,M,282 Florence Pass,Sydney,New South Wales,1033,RAAF Base Edinburgh
17-7045451,Fair,Housbey,22/05/1976,M,911 Monica Road,Sydney,New South Wales,1033,Jungle Training Wing
17-7753109,Emmi,Howell,18/07/1980,F,10 Bultman Parkway,Adelaide Mail Centre,South Australia,5869,Robertson Barracks
17-7866323,Ken,Raitie,10/07/1981,M,24 Caliangt Trail,Sydney,New South Wales,1120,RAAF Scherger
18-0335977,Sharron,Lingwood,06/01/1977,F,19 Cherokee Plaza,Sydney,New South Wales,1009,RAAF Scherger
18-0932365,Marla,Eccleshall,04/02/1979,F,29 Mcbride Pass,Hobart,Tasmania,7808,Gallipoli Barracks
18-1377352,Jillian,Hallatt,05/04/1986,F,27 Sutherland Center,Sydney,New South Wales,1028,RAAF Base East Sale (Air Training College)
18-1521883,Aloise,Strange,19/04/1971,F,1 Ridgeway Avenue,Hobart,Tasmania,7803,Garden Island (Fleet Base East)
18-1539373,Karine,Beckson,06/06/1989,F,62611 Esker Circle,Sydney,New South Wales,1206,Kokoda Barracks (Land Warfare Centre)
18-3489523,Beryl,Bunton,19/12/1980,F,3 Sage Plaza,Adelaide Mail Centre,South Australia,5874,Lavarack Barracks
18-3495016,Tessa,Flag,13/09/1985,F,01 4th Lane,Adelaide Mail Centre,South Australia,5889,RAAF Base Tindal
18-3697728,Saxe,Stallen,18/07/1989,M,75 Jackson Hill,Adelaide,South Australia,5839,Irwin Barracks
18-4438905,Tallie,Van der Son,03/02/1975,M,9250 Westridge Trail,Sydney,New South Wales,1120,Lavarack Barracks
18-4604123,Vincenty,Hallick,20/04/1989,M,81248 Butternut Center,Sydney,New South Wales,1181,HMAS Cairns
18-5959819,Kenon,Ianiello,17/02/1981,M,04 South Avenue,Launceston,Tasmania,7904,RAAF Base Wagga
18-6984842,Selma,Strut,30/09/1989,F,74 Lake View Terrace,Northern Suburbs Mc,New South Wales,1694,Lone Pine Barracks (School of Infantry)
18-7492721,Maddy,McAdam,10/07/1984,F,4302 Warner Way,Sydney,New South Wales,1043,Kokoda Barracks (Land Warfare Centre)
